,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
12451,RIVER VALLEY HEALTH & REHABILITATION CENTER,GAINESVILLE,TX,76240,Cooke,For profit - Corporation,116,DALLAS COUNTY HOSPITAL DISTRICT,N,1.0,1.0,4.0,2.0,5.0,4,243826.0,1,5,"1907 REFINERY RD,GAINESVILLE,TX,76240",01/03/2023
12452,ROCKPORT NURSING AND REHABILITATION CENTER,ROCKPORT,TX,78382,Aransas,Government - Hospital district,92,UVALDE COUNTY HOSPITAL AUTHORITY,N,4.0,5.0,4.0,5.0,4.0,0,0.0,0,0,"1902 FM 3036,ROCKPORT,TX,78382",01/03/2023
12453,ST. CATHERINE CENTER,WACO,TX,76712,Mc Lennan,Non profit - Corporation,225,PROVIDENCE PARK INC,N,3.0,2.0,5.0,5.0,4.0,2,20897.25,0,2,"300 WEST HIGHWAY 6,WACO,TX,76712",01/03/2023
12454,CLARKSVILLE NURSING HOME,CLARKSVILLE,TX,75426,Red River,For profit - Corporation,48,CLARKSVILLE SNF LLC,N,5.0,5.0,3.0,3.0,4.0,0,0.0,0,0,"300 E BAKER ST,CLARKSVILLE,TX,75426",01/03/2023
12455,HENDERSON HEALTH & REHABILITATION CENTER,HENDERSON,TX,75652,Rusk,For profit - Limited Liability company,173,HENDERSON SNF LLC,N,3.0,4.0,2.0,2.0,2.0,0,0.0,0,0,"1010 W MAIN ST,HENDERSON,TX,75652",01/03/2023
12456,BORGER HEALTHCARE CENTER,BORGER,TX,79007,Hutchinson,Government - Hospital district,110,STRATFORD HOSPITAL DISTRICT,N,1.0,2.0,4.0,5.0,3.0,1,29408.6,0,1,"1316 S FLORIDA,BORGER,TX,79007",01/03/2023
12457,"DESOTO LTC PARTNERS, INC",DESOTO,TX,75115,Dallas,For profit - Corporation,110,DESOTO LTC PARTNERS INC,N,4.0,4.0,5.0,5.0,,2,1637.6,0,2,"1101 N HAMPTON RD,DESOTO,TX,75115",01/03/2023
12458,THE RENAISSANCE AT KESSLER PARK,DALLAS,TX,75211,Dallas,For profit - Limited Liability company,135,RENAISSANCE SNF LLC,N,1.0,1.0,3.0,3.0,,2,25610.0,0,2,"2428 BAHAMA DR,DALLAS,TX,75211",01/03/2023
12459,PORT LAVACA NURSING AND REHABILITATION CENTER,PORT LAVACA,TX,77979,Calhoun,Government - County,150,CITIZENS MEDICAL CENTER COUNTY OF VICTORIA,N,1.0,2.0,1.0,2.0,1.0,3,35000.0,0,3,"524 VILLAGE RD,PORT LAVACA,TX,77979",01/03/2023
12460,SAN JOSE NURSING CENTER,SAN ANTONIO,TX,78221,Bexar,For profit - Corporation,70,Legal Business Name Not Available,N,2.0,2.0,2.0,2.0,,1,650.0,0,1,"406 SHARMAIN PL,SAN ANTONIO,TX,78221",01/03/2023
12461,HIGHLAND NURSING CENTER,SAN ANTONIO,TX,78223,Bexar,For profit - Corporation,59,Legal Business Name Not Available,N,4.0,4.0,3.0,3.0,,0,0.0,0,0,"5819 PECAN VALLEY DR,SAN ANTONIO,TX,78223",01/03/2023
12462,JOHN PAUL II NURSING HOME,KENEDY,TX,78119,Karnes,Non profit - Corporation,64,Legal Business Name Not Available,N,1.0,2.0,1.0,1.0,,0,0.0,0,0,"209 S 3RD ST,KENEDY,TX,78119",01/03/2023
12463,THE SARAH ROBERTS FRENCH HOME,SAN ANTONIO,TX,78201,Bexar,Non profit - Corporation,60,Legal Business Name Not Available,N,5.0,4.0,5.0,5.0,,9,26384.8,0,9,"1315 TEXAS AVE,SAN ANTONIO,TX,78201",01/03/2023
12464,SCHLEICHER COUNTY MEDICAL CENTER,ELDORADO,TX,76936,Schleicher,Government - County,34,Legal Business Name Not Available,N,3.0,4.0,2.0,2.0,,22,72200.0,0,22,"104 N US HWY 277,ELDORADO,TX,76936",01/03/2023
12465,MCCAMEY CONVALESCENT CENTER,MCCAMEY,TX,79752,Upton,Government - County,30,Legal Business Name Not Available,N,2.0,3.0,1.0,1.0,,1,650.0,0,1,"2500 HWY 305 S,MCCAMEY,TX,79752",01/03/2023
12466,CROCKETT COUNTY CARE CENTER,OZONA,TX,76943,Crockett,Government - City/county,54,Legal Business Name Not Available,N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"103 N AVE H,OZONA,TX,76943",01/03/2023
12467,COLDWATER MANOR,STRATFORD,TX,79084,Sherman,Government - Hospital district,32,Legal Business Name Not Available,N,4.0,4.0,5.0,5.0,,22,71500.0,0,22,"1111 BEAVER RD,STRATFORD,TX,79084",01/03/2023
12468,REAGAN COUNTY CARE CENTER,BIG LAKE,TX,76932,Reagan,Government - County,42,Legal Business Name Not Available,N,2.0,3.0,3.0,3.0,,5,6500.0,0,5,"1300 NORTH MAIN,BIG LAKE,TX,76932",01/03/2023
12469,BOOKER HOSPITAL DISTRICT DBA:  TWIN OAKS MANOR,BOOKER,TX,79005,Lipscomb,Government - Hospital district,41,Legal Business Name Not Available,N,5.0,4.0,5.0,5.0,,0,0.0,0,0,"112 PIONEER DR,BOOKER,TX,79005",01/03/2023
12470,MEMORIAL NURSING AND REHABILITATION CENTER,DUMAS,TX,79029,Moore,Government - Hospital district,47,Legal Business Name Not Available,N,4.0,3.0,5.0,5.0,,1,650.0,0,1,"224 E 2ND ST,DUMAS,TX,79029",01/03/2023
12471,WARE MEMORIAL CARE CENTER,AMARILLO,TX,79101,Potter,Non profit - Corporation,25,Legal Business Name Not Available,N,5.0,4.0,2.0,2.0,,0,0.0,0,0,"1510 S. VAN BUREN ST.,AMARILLO,TX,79101",01/03/2023
12472,ST. FRANCIS NURSING HOME,SAN ANTONIO,TX,78212,Bexar,Non profit - Corporation,143,Legal Business Name Not Available,N,5.0,5.0,4.0,4.0,,0,0.0,0,0,"630 W WOODLAWN AVE,SAN ANTONIO,TX,78212",01/03/2023
12473,GOODALL WITCHER NURSING FACILITY,CLIFTON,TX,76634,Bosque,Non profit - Corporation,43,Legal Business Name Not Available,N,5.0,5.0,2.0,2.0,,2,33100.0,0,2,"101 POSEY AVENUE,CLIFTON,TX,76634",01/03/2023
12474,MEMORIAL HEALTH CARE CENTER,SEMINOLE,TX,79360,Gaines,Government - Hospital district,79,Legal Business Name Not Available,N,3.0,4.0,4.0,4.0,,3,2925.0,0,3,"212 NW 10TH ST,SEMINOLE,TX,79360",01/03/2023
12475,TRUMAN W SMITH CHILDREN'S CARE CENTER,GLADEWATER,TX,75647,Gregg,For profit - Corporation,120,Legal Business Name Not Available,N,4.0,3.0,5.0,5.0,,0,0.0,0,0,"2200 W UPSHUR AVE,GLADEWATER,TX,75647",01/03/2023
12476,HANSFORD MANOR,SPEARMAN,TX,79081,Hansford,Government - Hospital district,64,Legal Business Name Not Available,N,4.0,4.0,2.0,2.0,,0,0.0,0,0,"707 S ROLAND ST,SPEARMAN,TX,79081",01/03/2023
12477,MESA VIEW SENIOR LIVING,CANADIAN,TX,79014,Hemphill,Government - Hospital district,48,Legal Business Name Not Available,N,4.0,4.0,1.0,1.0,,5,6500.0,0,5,"106 TEAS CIRCLE,CANADIAN,TX,79014",01/03/2023
12478,MONT BELVIEU REHABILITATION & HEALTHCARE CENTER,MONT BELVIEU,TX,77523,Chambers,For profit - Corporation,92,Legal Business Name Not Available,N,1.0,1.0,3.0,3.0,3.0,5,16575.0,0,5,"14000 LAKES OF CHAMPIONS BLVD,MONT BELVIEU,TX,77523",01/03/2023
12479,HERITAGE PARK HEALTHCARE AND REHABILITATION,ROY,UT,84067,Weber,For profit - Corporation,176,BEAVER VALLEY HOSPITAL,N,4.0,3.0,5.0,5.0,5.0,4,50075.0,0,4,"2700 WEST 5600 SOUTH,ROY,UT,84067",01/03/2023
12480,MT OLYMPUS REHABILITATION CENTER,SALT LAKE CITY,UT,84109,Salt Lake,Government - County,107,BEAVER VALLEY HOSPITAL,N,1.0,1.0,2.0,1.0,2.0,3,11375.0,0,3,"2200 EAST 3300 SOUTH,SALT LAKE CITY,UT,84109",01/03/2023
12481,HARRISON POINTE HEALTHCARE AND REHABILITATION,OGDEN,UT,84403,Weber,For profit - Limited Liability company,63,BEAVER VALLEY HOSPITAL,N,5.0,5.0,3.0,4.0,2.0,0,0.0,0,0,"3430 HARRISON BOULEVARD,OGDEN,UT,84403",01/03/2023
12482,PIONEER CARE CENTER,BRIGHAM CITY,UT,84302,Box Elder,Government - Hospital district,72,GUNNISON VALLEY HOSPITAL,N,5.0,4.0,5.0,5.0,,0,0.0,0,0,"815 SOUTH 200 WEST,BRIGHAM CITY,UT,84302",01/03/2023
12483,SPRING CREEK HEALTHCARE CENTER,SALT LAKE CITY,UT,84117,Salt Lake,For profit - Corporation,92,BEAVER VALLEY HOSPITAL,N,1.0,1.0,4.0,2.0,5.0,36,287307.12,0,36,"4600 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84117",01/03/2023
12484,FOUR CORNERS REGIONAL CARE CENTER,BLANDING,UT,84511,San Juan,Government - County,104,BEAVER VALLEY HOSPITAL,N,4.0,4.0,3.0,4.0,3.0,7,11464.33,0,7,"818 NORTH 400 WEST,BLANDING,UT,84511",01/03/2023
12485,RICHFIELD REHABILITATION AND CARE CENTER,RICHFIELD,UT,84701,Sevier,For profit - Corporation,98,GUNNISON VALLEY HOSPITAL,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"163 EAST 1000 NORTH,RICHFIELD,UT,84701",01/03/2023
12486,ST GEORGE REHABILITATION,ST GEORGE,UT,84770,Washington,For profit - Limited Liability company,99,BEAVER VALLEY HOSPITAL,N,2.0,2.0,3.0,2.0,4.0,2,20439.25,0,2,"1032 EAST 100 SOUTH,ST GEORGE,UT,84770",01/03/2023
12487,AVALON WEST HEALTH & REHABILITATION,SALT LAKE CITY,UT,84123,Salt Lake,Government - Hospital district,120,GUNNISON VALLEY HOSPITAL,N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"6246 SOUTH REDWOOD ROAD,SALT LAKE CITY,UT,84123",01/03/2023
12488,ROCKY MOUNTAIN CARE - CLEARFIELD,CLEARFIELD,UT,84015,Davis,Non profit - Other,168,BEAVER VALLEY HOSPITAL,N,2.0,2.0,4.0,3.0,4.0,1,3250.0,0,1,"1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015",01/03/2023
12489,MT OGDEN HEALTH AND REHABILITATION CENTER,WASHINGTON TERRACE,UT,84405,Weber,For profit - Limited Liability company,108,BEAVER VALLEY HOSPITAL,N,4.0,4.0,4.0,3.0,5.0,1,18999.5,0,1,"375 EAST 5350 SOUTH,WASHINGTON TERRACE,UT,84405",01/03/2023
12490,CITY CREEK POST ACUTE,SALT LAKE CITY,UT,84102,Salt Lake,Government - Hospital district,108,BEAVER VALLEY HOSPITAL,N,3.0,2.0,5.0,5.0,5.0,1,28613.0,0,1,"165 SOUTH 1000 EAST,SALT LAKE CITY,UT,84102",01/03/2023
12491,WILLOW WOOD CARE CENTER,SALT LAKE CITY,UT,84117,Salt Lake,Government - Hospital district,77,GUNNISON VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,,2,87230.0,0,2,"1205 EAST 4725 SOUTH,SALT LAKE CITY,UT,84117",01/03/2023
12492,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,WEST VALLEY CITY,UT,84120,Salt Lake,Non profit - Corporation,124,BEAVER VALLEY HOSPITAL,N,2.0,2.0,4.0,4.0,5.0,2,10419.5,0,2,"4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120",01/03/2023
12493,HIGHLAND CARE CENTER,HOLLADAY,UT,84124,Salt Lake,For profit - Limited Liability company,103,BEAVER VALLEY HOSPITAL,N,2.0,3.0,4.0,4.0,3.0,1,662.73,0,1,"4285 SOUTH HIGHLAND DRIVE,HOLLADAY,UT,84124",01/03/2023
12494,SUNSHINE TERRACE FOUNDATION,LOGAN,UT,84321,Cache,Non profit - Other,172,"SUNSHINE TERRACE FOUNDATION, INC",N,3.0,2.0,5.0,3.0,5.0,2,1636.7,0,2,"248 WEST 300 NORTH,LOGAN,UT,84321",01/03/2023
12495,CRESTWOOD REHABILITATION AND NURSING,OGDEN,UT,84403,Weber,For profit - Limited Liability company,88,BEAVER VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,,7,68701.0,0,7,"3665 BRINKER AVENUE,OGDEN,UT,84403",01/03/2023
12496,UINTAH BASIN REHABILITATION AND SENIOR VILLA,ROOSEVELT,UT,84066,Duchesne,Non profit - Corporation,90,COUNTY OF DUCHESNE,N,3.0,2.0,5.0,5.0,5.0,2,1625.0,0,2,"265 NORTH 300 WEST,ROOSEVELT,UT,84066",01/03/2023
12497,SAN RAFAEL HEALTH AND REHABILITATION,FERRON,UT,84523,Emery,Government - County,51,EMERY COUNTY CARE AND REHABILITATION CENTER,N,2.0,2.0,3.0,3.0,,1,32955.0,0,1,"455 WEST MILL ROAD,FERRON,UT,84523",01/03/2023
12498,MOUNTAIN VIEW HEALTH SERVICES,OGDEN,UT,84403,Weber,For profit - Corporation,155,COUNTRY MEADOW SNF LC,N,2.0,1.0,5.0,5.0,,12,268668.04,0,12,"5865 SOUTH WASATCH DRIVE,OGDEN,UT,84403",01/03/2023
12499,MISSION AT ALPINE REHABILITATION CENTER,PLEASANT GROVE,UT,84062,Utah,Government - Hospital district,52,GUNNISON VALLEY HOSPITAL,N,3.0,4.0,4.0,4.0,,0,0.0,0,0,"25 EAST ALPINE AVENUE,PLEASANT GROVE,UT,84062",01/03/2023
12500,ROCKY MOUNTAIN CARE - WILLOW SPRINGS,TOOELE,UT,84074,Tooele,Non profit - Corporation,112,BEAVER VALLEY HOSPITAL,N,1.0,1.0,4.0,4.0,4.0,2,49692.5,0,2,"85 EAST 2000 NORTH,TOOELE,UT,84074",01/03/2023
12501,CASCADES AT ORCHARD PARK,OREM,UT,84057,Utah,For profit - Limited Liability company,52,BEAVER VALLEY HOSPITAL,N,3.0,2.0,5.0,5.0,4.0,2,1625.0,0,2,"740 NORTH 300 EAST,OREM,UT,84057",01/03/2023
12502,DRAPER REHABILITATION AND CARE CENTER,DRAPER,UT,84020,Salt Lake,Government - Hospital district,93,BEAVER VALLEY HOSPITAL,N,4.0,4.0,4.0,3.0,5.0,1,650.0,0,1,"12702 SOUTH FORT STREET,DRAPER,UT,84020",01/03/2023
12503,UINTAH HEALTH CARE SPECIAL SERVICE DISTRICT,VERNAL,UT,84078,Uintah,Government - County,110,UINTAH HEALTH CARE SPECIAL SERVICE DISTRICT,N,5.0,4.0,5.0,4.0,5.0,2,3900.0,0,2,"510 SOUTH 500 WEST,VERNAL,UT,84078",01/03/2023
12504,WILLOW GLEN HEALTH AND REHAB,BRIGHAM CITY,UT,84302,Box Elder,Government - Hospital district,84,GUNNISON VALLEY HOSPITAL,N,4.0,3.0,5.0,5.0,,0,0.0,0,0,"775 NORTH 200 EAST,BRIGHAM CITY,UT,84302",01/03/2023
12505,WOODLAND PARK REHABILITATION AND CARE CENTER,SALT LAKE CITY,UT,84106,Salt Lake,Government - County,184,GUNNISON VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,5.0,1,3250.0,0,1,"3855 SOUTH 700 EAST,SALT LAKE CITY,UT,84106",01/03/2023
12506,ST JOSEPH VILLA,SALT LAKE CITY,UT,84115,Salt Lake,For profit - Corporation,221,BEAVER VALLEY HOSPITAL,N,4.0,3.0,5.0,4.0,5.0,1,18632.25,0,1,"451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115",01/03/2023
12507,CANYON RIM CARE CENTER,SALT LAKE CITY,UT,84109,Salt Lake,For profit - Corporation,90,GUNNISON VALLEY HOSPITAL,N,3.0,2.0,5.0,5.0,,4,35874.5,0,4,"2730 EAST 3300 SOUTH,SALT LAKE CITY,UT,84109",01/03/2023
12508,HERITAGE CARE CENTER,AMERICAN FORK,UT,84003,Utah,For profit - Corporation,106,GUNNISON VALLEY HOSPITAL,N,2.0,2.0,4.0,4.0,3.0,1,11638.25,0,1,"350 EAST 300 NORTH,AMERICAN FORK,UT,84003",01/03/2023
12509,PINNACLE NURSING AND REHABILITATION CENTER,PRICE,UT,84501,Carbon,For profit - Corporation,100,BEAVER VALLEY HOSPITAL,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"1340 EAST 300 NORTH,PRICE,UT,84501",01/03/2023
12510,PARAMOUNT HEALTH AND REHABILITATION,SALT LAKE CITY,UT,84107,Salt Lake,Government - Hospital district,99,BEAVER VALLEY HOSPITAL,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"4035 SOUTH 500 EAST,SALT LAKE CITY,UT,84107",01/03/2023
12511,HURRICANE HEALTH AND REHABILITATION,HURRICANE,UT,84737,Washington,For profit - Individual,60,BEAVER VALLEY HOSPITAL,N,5.0,4.0,5.0,4.0,5.0,0,0.0,0,0,"416 NORTH STATE STREET,HURRICANE,UT,84737",01/03/2023
12512,PARKDALE HEALTH AND REHAB,PRICE,UT,84501,Carbon,For profit - Corporation,58,BEAVER VALLEY HOSPITAL,N,1.0,1.0,4.0,5.0,3.0,1,8037.25,0,1,"250 EAST 600 NORTH,PRICE,UT,84501",01/03/2023
12513,OREM REHABILITATION AND NURSING CENTER,OREM,UT,84097,Utah,For profit - Corporation,120,BEAVER VALLEY HOSPITAL,N,2.0,2.0,4.0,3.0,5.0,1,46267.0,0,1,"575 EAST 1400 SOUTH,OREM,UT,84097",01/03/2023
12514,HERITAGE HILLS REHABILITATION AND CARE CENTER,NEPHI,UT,84648,Juab,Government - County,80,GUNNISON VALLEY HOSPITAL,N,3.0,3.0,4.0,3.0,5.0,0,0.0,0,0,"1100 NORTH 400 EAST,NEPHI,UT,84648",01/03/2023
12515,COPPER RIDGE HEALTH CARE,WEST JORDAN,UT,84088,Salt Lake,For profit - Corporation,120,BEAVER VALLEY HOSPITAL,N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"3706 WEST 9000 SOUTH,WEST JORDAN,UT,84088",01/03/2023
12516,HOLLADAY HEALTHCARE CENTER,SALT LAKE CITY,UT,84117,Salt Lake,Government - Hospital district,120,BEAVER VALLEY HOSPITAL,N,4.0,3.0,5.0,4.0,5.0,1,650.0,0,1,"4782 SOUTH HOLLADAY BOULEVARD,SALT LAKE CITY,UT,84117",01/03/2023
12517,SANDY HEALTH AND REHAB,SANDY,UT,84070,Salt Lake,For profit - Corporation,141,BEAVER VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,5.0,13,134310.96,0,13,"50 EAST 9000 SOUTH,SANDY,UT,84070",01/03/2023
12518,LIFE CARE CENTER OF BOUNTIFUL,BOUNTIFUL,UT,84010,Davis,For profit - Corporation,100,"BOUNTIFUL MEDICAL INVESTORS, LLC",N,,,,,,6,72572.5,0,6,"460 WEST 2600 SOUTH,BOUNTIFUL,UT,84010",01/03/2023
12519,THE TERRACE AT MT OGDEN,OGDEN,UT,84405,Weber,For profit - Corporation,120,BEAVER VALLEY HOSPITAL,N,4.0,3.0,5.0,5.0,3.0,1,3250.0,0,1,"400 EAST 5350 SOUTH,OGDEN,UT,84405",01/03/2023
12520,ROCKY MOUNTAIN CARE - LOGAN,LOGAN,UT,84341,Cache,Non profit - Corporation,120,BEAVER VALLEY HOSPITAL,N,4.0,4.0,4.0,4.0,4.0,0,0.0,0,0,"1480 NORTH 400 EAST,LOGAN,UT,84341",01/03/2023
12521,SOUTH OGDEN POST ACUTE,OGDEN,UT,84405,Weber,For profit - Limited Liability company,122,BEAVER VALLEY HOSPITAL,N,1.0,1.0,2.0,2.0,2.0,5,113079.75,0,5,"5540 SOUTH 1050 EAST,OGDEN,UT,84405",01/03/2023
12522,PROVO REHABILITATION AND NURSING,PROVO,UT,84604,Utah,For profit - Limited Liability company,220,BEAVER VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,4.0,2,188110.0,1,3,"1001 NORTH 500 WEST,PROVO,UT,84604",01/03/2023
12523,LOGAN REGIONAL HOSPITAL TRANSITIONAL CARE UNIT,LOGAN,UT,84341,Cache,Non profit - Corporation,11,IHC HEALTH SERVICES INC,N,5.0,5.0,5.0,,5.0,0,0.0,0,0,"1400 NORTH 500 EAST,LOGAN,UT,84341",01/03/2023
12524,MIDTOWN MANOR,SALT LAKE CITY,UT,84104,Salt Lake,For profit - Corporation,82,ADAMS & ADAMS ENTERPRISES INC,N,2.0,2.0,5.0,5.0,,2,22750.0,1,3,"125 SOUTH 900 WEST,SALT LAKE CITY,UT,84104",01/03/2023
12525,ROCKY MOUNTAIN CARE - COTTAGE ON VINE,MURRAY,UT,84107,Salt Lake,Non profit - Corporation,61,BEAVER VALLEY HOSPITAL,N,1.0,1.0,4.0,3.0,4.0,2,87587.5,0,2,"835 EAST VINE STREET,MURRAY,UT,84107",01/03/2023
12526,PARKWAY HEALTH CENTER,PAYSON,UT,84651,Utah,For profit - Corporation,52,CANYONLANDS HEALTH CARE SPECIAL SERVICE DISTRICT,N,1.0,1.0,2.0,3.0,1.0,16,153705.49,1,17,"55 SOUTH PROFESSIONAL WAY,PAYSON,UT,84651",01/03/2023
12527,STONEHENGE OF SPRINGVILLE,SPRINGVILLE,UT,84663,Utah,Government - Hospital district,50,KANE COUNTY HUMAN RESOURCE SPECIAL SERVICE DISTRICT,N,3.0,3.0,4.0,3.0,5.0,0,0.0,0,0,"909 WEST 450 SOUTH,SPRINGVILLE,UT,84663",01/03/2023
12528,RED CLIFFS HEALTH AND REHAB,ST GEORGE,UT,84790,Washington,For profit - Corporation,124,BEAVER VALLEY HOSPITAL,N,2.0,2.0,3.0,2.0,3.0,3,19370.0,0,3,"1745 EAST 280 NORTH,ST GEORGE,UT,84790",01/03/2023
12529,LIFE CARE CENTER OF SALT LAKE CITY,SALT LAKE CITY,UT,84117,Salt Lake,For profit - Limited Liability company,120,"SALT LAKE OPERATIONS, LLC",N,4.0,4.0,4.0,3.0,5.0,0,0.0,0,0,"1201 EAST 4500 SOUTH,SALT LAKE CITY,UT,84117",01/03/2023
12530,CEDAR HEALTH AND REHABILITATION,CEDAR CITY,UT,84721,Iron,For profit - Limited Liability company,120,BEAVER VALLEY HOSPITAL,N,4.0,4.0,4.0,2.0,5.0,0,0.0,0,0,"411 WEST 1325 NORTH,CEDAR CITY,UT,84721",01/03/2023
12531,SEASONS HEALTHCARE AND REHABILITATION,ST GEORGE,UT,84770,Washington,For profit - Limited Liability company,53,CANYONLANDS HEALTH CARE SPECIAL SERVICE DISTRICT,N,1.0,1.0,3.0,4.0,2.0,3,38221.3,0,3,"242 NORTH 200 WEST,ST GEORGE,UT,84770",01/03/2023
12532,AVALON VALLEY REHABILITATION,SALT LAKE CITY,UT,84115,Salt Lake,Government - Hospital district,140,GUNNISON VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,5.0,3,77587.25,0,3,"2472 SOUTH 300 EAST,SALT LAKE CITY,UT,84115",01/03/2023
12533,ROCKY MOUNTAIN CARE - THE LODGE,HEBER CITY,UT,84032,Wasatch,Non profit - Corporation,92,BEAVER VALLEY HOSPITAL,N,2.0,2.0,4.0,4.0,4.0,5,58830.08,0,5,"544 EAST 1200 SOUTH,HEBER CITY,UT,84032",01/03/2023
12534,WILLIAM E CHRISTOFFERSEN SALT LAKE VETERANS HOME,SALT LAKE CITY,UT,84113,Salt Lake,For profit - Limited Liability company,81,AVALON CARE CENTER - VA SALT LAKE II LLC,N,4.0,3.0,5.0,5.0,,0,0.0,0,0,"700 SOUTH FOOTHILL DRIVE,SALT LAKE CITY,UT,84113",01/03/2023
12535,BELLA TERRA ST GEORGE,ST GEORGE,UT,84790,Washington,For profit - Corporation,180,BEAVER VALLEY HOSPITAL,N,1.0,1.0,4.0,4.0,,9,58113.39,0,9,"178 SOUTH 1200 EAST,ST GEORGE,UT,84790",01/03/2023
12536,STONEHENGE OF CEDAR CITY,CEDAR CITY,UT,84721,Iron,For profit - Corporation,50,KANE COUNTY HUMAN RESOURCE SPECIAL SERVICE DISTRICT,N,2.0,3.0,4.0,5.0,4.0,1,3250.0,0,1,"333 WEST 1425 NORTH,CEDAR CITY,UT,84721",01/03/2023
12537,PINE VIEW TRANSITIONAL REHAB,OGDEN,UT,84405,Weber,For profit - Corporation,30,AHC OGDEN LLC,N,5.0,5.0,5.0,,5.0,4,4567.99,0,4,"1497 EAST SKYLINE DRIVE,OGDEN,UT,84405",01/03/2023
12538,AVALON CARE CENTER-BOUNTIFUL,BOUNTIFUL,UT,84010,Davis,Government - Hospital district,122,GUNNISON VALLEY HOSPITAL,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"523 NORTH MAIN STREET,BOUNTIFUL,UT,84010",01/03/2023
12539,MILLARD COUNTY CARE AND REHABILITATION,DELTA,UT,84624,Millard,Government - County,60,MILLARD COUNTY CARE & REHABILITATION INC,N,4.0,3.0,5.0,5.0,5.0,3,3290.6,0,3,"150 SOUTH WHITE SAGE AVENUE,DELTA,UT,84624",01/03/2023
12540,MEADOW BROOK REHABILITATION AND NURSING,SALT LAKE CITY,UT,84115,Salt Lake,For profit - Limited Liability company,41,BEAVER VALLEY HOSPITAL,N,3.0,3.0,3.0,3.0,,2,1625.0,0,2,"433 EAST 2700 SOUTH,SALT LAKE CITY,UT,84115",01/03/2023
12541,ASPEN RIDGE TRANSITIONAL REHAB,MURRAY,UT,84121,Salt Lake,For profit - Limited Liability company,38,AHC OF MURRAY LLC,N,5.0,4.0,5.0,,5.0,0,0.0,0,0,"963 EAST 6600 SOUTH,MURRAY,UT,84121",01/03/2023
12542,CORAL DESERT REHABILITATION AND CARE,ST GEORGE,UT,84790,Washington,For profit - Individual,60,RED CLIFFS HEALTHCARE INC,N,5.0,5.0,4.0,,4.0,0,0.0,0,0,"1490 EAST FOREMASTER DRIVE, BUILDING B,ST GEORGE,UT,84790",01/03/2023
12543,NORTH CANYON CARE CENTER,BOUNTIFUL,UT,84010,Davis,For profit - Corporation,102,GUNNISON VALLEY HOSPITAL,N,4.0,3.0,5.0,5.0,5.0,1,650.0,0,1,"350 SOUTH 400 EAST,BOUNTIFUL,UT,84010",01/03/2023
12544,MISSION AT MAPLE SPRINGS,BRIGHAM,UT,84302,Box Elder,Government - Hospital district,41,GUNNISON VALLEY HOSPITAL,N,2.0,1.0,5.0,5.0,5.0,3,82136.75,1,4,"1010 SOUTH MEDICAL DRIVE,BRIGHAM,UT,84302",01/03/2023
12545,ASPEN RIDGE WEST TRANSITIONAL REHAB,MURRAY,UT,84123,Salt Lake,For profit - Limited Liability company,38,"AHC OF MURRAY II, LLC",N,5.0,4.0,5.0,,5.0,0,0.0,0,0,"5323 SOUTH MURRAY BOULEVARD,MURRAY,UT,84123",01/03/2023
12546,STONEHENGE OF OREM,OREM,UT,84057,Utah,For profit - Limited Liability company,34,"STONEHENGE OF OREM, LLC",N,5.0,5.0,4.0,,4.0,1,650.0,0,1,"435 WEST CENTER STREET,OREM,UT,84057",01/03/2023
12547,ROCKY MOUNTAIN CARE - RIVERTON,RIVERTON,UT,84065,Salt Lake,Non profit - Corporation,40,BEAVER VALLEY HOSPITAL,N,4.0,3.0,5.0,,5.0,1,9080.5,0,1,"3419 WEST 12600 SOUTH,RIVERTON,UT,84065",01/03/2023
12548,THATCHER BROOK REHABILITATION & CARE CENTER,CLEARFIELD,UT,84015,Davis,For profit - Limited Liability company,30,THATCHER BROOK REHABILITATION AND CARE CENTER LLC,N,2.0,2.0,4.0,,4.0,4,17894.1,0,4,"1795 SOUTH CHELEMES WAY,CLEARFIELD,UT,84015",01/03/2023
