Location Name,Care homes beds,Location Postal Code,Care Services
Sydmar Lodge,57,HA8 9QH,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment
Fleming Court,69,NE2 3AE,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Castle Brook,88,CV8 2EQ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Rons Place,4,B37 5EY,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Langham Court,41,GU26 6BG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Eagle House Care Home,30,DN18 5QD,Nursing Or Personal Care; Residential Home; Dementia; Older People
Westbridge House Rehabilitation Unit,25,DN18 5AA,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Magellan House,9,RH19 2EJ,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Thornbury,2,TR15 3TN,Nursing Or Personal Care; Residential Home; LD & Autism
The New Barn,12,TF9 2NA,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Rydal Care Home,60,DL1 4BH,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Highfield Residential Home,20,DY6 9PB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Delph House Limited,39,BH18 8BY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Oak House,8,ST4 2PY,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Gate Cottage Rest Home,13,BN2 7DB,Nursing Or Personal Care; Residential Home; Older People
R C Care Rosehill Ltd,17,EX39 3PA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Syne Hills Care Home Limited,35,PE25 3DJ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People
Sharnbrook Care Home Limited,24,LU5 5LD,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Compton View Residential Care Home,18,BA21 4NB,Nursing Or Personal Care; Residential Home; Older People
SignHealth Polestar,6,B23 5TD,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Sensory Impairment; Young Adults
Marvels House,6,SE12 9PJ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Caprera,35,PL25 5JG,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Birch Hall Care Centre,80,BB3 0JB,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
The Cedars and Larches,69,DE7 5GR,Nursing Or Personal Care; Nursing Home; Older People
Charnwood,88,NG4 3AX,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Manor Park Care Home,75,WF10 5HA,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Park Lane,48,ST8 7BG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Howgate House,63,BD10 9RD,Nursing Or Personal Care; Nursing Home; Older People
Croft House Care Home,68,WF5 9RL,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Larkland House,55,SL5 7EG,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Young Adults
Milner House,46,KT22 8TX,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Norfolk House,76,KT13 8HQ,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Riverside,90,SK14 2DE,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
The Oaks and Little Oaks,73,NG24 3BN,Nursing Or Personal Care; Nursing Home; Older People
The Sycamores and The Poplars,72,NG20 0AA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Royal Mencap Society - Drummond Court,28,IP33 3NN,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Royal Mencap Society - Woodlands Residential Home,8,IP24 3HL,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Tudor Grange,33,NG12 2BP,Nursing Or Personal Care; Residential Home; Older People
Westside Nursing Home,26,DE3 9GQ,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Garden Hill Care Centre,40,NE33 3AN,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Amber Court,33,FY3 9UX,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Astor Court,43,NE23 6XF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Astor Lodge,29,NE23 6XF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Barnes Court Care Home,89,SR4 7QG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Dussindale Park,58,NR7 0UD,Nursing Or Personal Care; Nursing Home; Older People
Field View,36,TS27 4LH,Nursing Or Personal Care; Nursing Home; Residential Home; Older People; Young Adults
Mary Chapman Court,34,NR7 0UD,Nursing Or Personal Care; Residential Home; Dementia; Older People
Rose Lodge,54,DL5 4SE,Nursing Or Personal Care; Residential Home; Dementia; Older People
The Hawthorns Care Home,23,NR2 2AJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
White Rose Lodge,38,YO15 2LX,Nursing Or Personal Care; Residential Home; Dementia; Older People
Woodland Care Home,46,NR6 5RQ,Nursing Or Personal Care; Nursing Home; Older People
Yohden Hall Care Complex,77,TS27 4LH,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Older People; Physical Disability; Young Adults
Whitby House,40,CH65 7AE,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Hollydale,8,PR6 7EU,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Physical Disability; Sensory Impairment
Beechdale,7,PR25 2YH,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Physical Disability; Sensory Impairment
Rowandale,11,PR6 7EU,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Physical Disability; Sensory Impairment
Willowdale,10,PR6 7EU,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Physical Disability; Sensory Impairment
Miles House - 4 Hentland Close,5,B98 0LP,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability
Bankhouse Care Home,52,FY6 9BU,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Ashill Lodge Care Home,35,IP25 7AQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Brookholme Croft Ltd,45,S41 0EU,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Fieldway Care Home,68,CR4 4SJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Elstree Court Care Home,41,BN20 7QJ,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Warrens Hall Care Home,40,B69 1PY,Nursing Or Personal Care; Nursing Home; Older People
Grangemead,12,BN27 1EU,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
The Harefield Care Home,40,UB9 6UX,Nursing Or Personal Care; Nursing Home; Dementia; Older People
The Cambridge Care Home,90,CB4 1NQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Brierton Lodge Care Home,58,TS25 5DP,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
The Hornchurch Care Home,55,RM12 6RJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Ashleigh House,30,DL1 3AF,Nursing Or Personal Care; Residential Home; Dementia; Mental Health
Harbour Care Centre,108,BS20 7QA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Moorside Hall,22,LA1 3DY,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment
Haven Care Home,40,BN10 7DX,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Market Lavington Care Home,87,SN10 4AG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
The Polegate Care Home,44,BN26 5AP,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Admirals Reach Care Home,158,CM1 2GA,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
The Shrubbery,28,WS10 9QL,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Young Adults
Crockstead Farm House,5,BN8 6PT,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Rivermere Retirement and Care Home,102,TN13 2PZ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Birchmere House,76,B93 9LQ,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Lauriston,60,TN38 0SY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Broadoak Manor Care Home,120,WA9 1HB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Colton Lodges Care Home,138,LS15 9HH,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Laurel Court (Didsbury),91,M20 3JH,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Chapelfields,70,WA6 7BB,Nursing Or Personal Care; Nursing Home; Older People
Woodlands,80,SK12 1SH,Nursing Or Personal Care; Nursing Home; Older People
Keychange Charity Rosemary Mount Care Home,29,BN11 2AE,Nursing Or Personal Care; Residential Home; Older People
Keychange Charity Romans Care Home,30,BN42 4TP,Nursing Or Personal Care; Residential Home; Older People
The Willows,61,WA16 7AR,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Swallow Wood,38,S64 9RQ,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Huntley,11,BN11 4AF,Nursing Or Personal Care; Residential Home; LD & Autism
Crowley Care Homes Ltd - St Annes Care Home,22,LU3 1EE,Nursing Or Personal Care; Residential Home; Dementia; Older People
Hampton Lodge (St Basils),44,SO15 5WF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Hillside,68,HP19 8AB,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Willesden Court,60,NW10 9HX,Nursing Or Personal Care; Nursing Home; Older People
Amathea,40,CA14 3JG,Nursing Or Personal Care; Residential Home; Older People
Warde Aldam,60,WF9 2JX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Torrwood Care Centre,82,BA5 3FB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Dove Court Care Home,120,BB10 1EN,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
Himley Mill Care Home,86,DY3 4LG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Cedar Lodge,47,B95 6DR,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Summerville Care Home,45,WA4 2EF,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Moulsham Home,23,CM2 0JN,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Physical Disability; Young Adults
Acer House Care Home,60,BS22 8AA,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Physical Disability; Sensory Impairment; Young Adults
Brookfield,66,OX4 7UY,Nursing Or Personal Care; Nursing Home; Older People
Gledhow,51,LS8 1SF,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Blossom View Respite Home,10,S35 3HY,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Eveson Road,2,DY8 3BU,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Old Vicarage Residential Home,15,ST10 4LE,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Penhurst Gardens Care Home,58,OX7 5ED,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
The Manse,23,TR8 5LB,Nursing Or Personal Care; Residential Home; Dementia; Older People
Appledown,6,TR27 6NG,Nursing Or Personal Care; Residential Home; LD & Autism
Lostock Lodge Care Home,66,CW9 7YN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Acorn Park Adult Services,9,NR16 2HU,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Mersey Parks Care Home,150,L8 5XW,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Perry Locks Care Home,128,B44 8BG,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Ringway Mews Care Home,150,M22 4RY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
River Court Care Home,120,WD18 6TQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
St Christopher's Care Home,163,AL10 8XY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Fort Horsted Care Home Ltd,30,ME4 6HZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
22 De Parys Avenue,7,MK40 2TW,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Northfield House,8,YO7 4AN,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
The Lodge,8,LS25 5AW,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Cold Springs Park Care Home,60,CA11 8EY,Nursing Or Personal Care; Residential Home; Dementia; Older People
Capwell Grange Care Home,146,LU4 9GR,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Meadow Bank Care Home,120,PR5 8LN,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Penn House Residential Home,26,WV3 0EQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Vida Grange,124,HG3 1FE,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Park Vista Care Home,59,PE1 4DX,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Real Life Options - Darlington Road,7,TS18 5EW,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Lady Spencer House,24,LU5 5BJ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Codnor Park Care Home,40,DE5 9QT,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Smalley Hall Care Home,26,DE7 6DS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
The Firs Care Home with Nursing,42,DE5 9QT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
The King William Care Home,28,DE5 3DW,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Valley Lodge Care Home with Nursing,64,DE4 3BN,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
West Hallam Care Home,31,DE7 6GZ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Apple House,9,LE18 2BA,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Young Adults
Adeline House Care Home,40,DN8 5AQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Coppice Court Care Home,54,BN21 1XR,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Brompton House Care Home,40,WR12 7DE,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Winters Park Care Home,41,CA11 8RG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Fulford Care & Nursing Home,74,BN17 6AJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Chaseview Care Home,120,RM7 0XY,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Woodlands View Care Home,120,SG2 9RZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Godden Lodge Care Home,133,SS7 3GL,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Tilford Care & Nursing Home,50,GU10 2DG,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Imber House,7,NR33 0BH,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Brookholme Care Home,40,S40 3LA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Edensor Care Centre (Diagrama Healthcare),50,CO15 1PR,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Hendra Court,50,PL24 2LX,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Addison Park,42,PL17 7QF,Nursing Or Personal Care; Residential Home; Dementia; Older People
Beech Lodge,28,PL25 5AG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Rivermead View,32,PL13 1HN,Nursing Or Personal Care; Residential Home; Dementia; Older People
Meadowbrook House,42,PL22 0RA,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Lincombe Manor,48,TQ1 2NE,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Framland,23,OX12 9DL,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People
Finborough Court,32,IP14 3AY,Nursing Or Personal Care; Residential Home; Dementia; Older People
Shottermill House,31,GU27 1NX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Milward House,28,TN2 5SZ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Sunningdale Nursing Home,35,LS19 6PU,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Downham Lodge,8,PO5 3DH,Nursing Or Personal Care; Residential Home; Childrens Home; Mental Health; Older People; Young Adults
Fairmile Grange,80,BH23 2FR,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Askham Grove,28,PE15 0TX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Harbour,6,TQ2 5BE,Nursing Or Personal Care; Residential Home; LD & Autism; Sensory Impairment; Young Adults
North Downs Villa,10,CR0 2SN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health
Earlham House,8,N22 5HJ,Nursing Or Personal Care; Residential Home; Mental Health
Valley View Care Home Ltd,33,ME1 3LT,Nursing Or Personal Care; Nursing Home; Older People
Byron Lodge Care Home Ltd,28,ME7 5PX,Nursing Or Personal Care; Nursing Home; Older People
Crouched Friars Residential Home,56,CO3 3HA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Glebe House Retirement Home,20,IP12 3JS,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Abberley House,9,DY4 0PS,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Mancroft,5,WV6 8RS,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; LD & Autism; Mental Health; Young Adults
Halden Heights Care Community,101,TN26 3BP,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Cherry Garth,60,HP15 6RF,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Acorn Hollow General Nursing Home,48,CW9 7QA,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Alexander Care Centre,78,SE4 1JJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Appleton Lodge,30,SK6 2QT,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Appleton Manor,59,SK6 2QT,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Ascot Lodge Nursing Home,50,S12 2FZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Ash Grange Nursing Home,42,WS3 3ER,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Ashgrove Care Home - London,50,TW4 7HH,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Ashbourne Lodge Care Centre,40,SR2 7TW,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Ashington Grange,59,NE63 9LJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Ashton Grange Residential Home,40,SR4 6QU,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Ashton View Nursing Home,58,WN4 9BJ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Aspen Court Nursing Home,75,E14 7EG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Avalon Park Care Home,60,OL4 5HG,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Acorn Meadow,48,CW9 7QA,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Averill House,48,M40 1PF,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Young Adults
Armstrong House,71,NE8 4YG,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Cheviot Court,73,NE34 6RF,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Church View (Murton),42,SR7 9PG,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Collingwood Court,63,NE29 0LF,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Elwick Grange,60,TS26 9LX,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Bankwood Care Home,40,DE56 4BG,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Beaconsfield Court,32,DL12 8ES,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Young Adults
Beauvale Care Home,35,NG13 8AS,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Bellefield Residential Home,31,L12 8QT,Nursing Or Personal Care; Residential Home; Older People
Berry Hill Care Home,66,NG18 4JR,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Grangewood Care Centre,50,DH4 4RB,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Hadrian House,63,NE21 4AG,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Hadrian Park,74,TS23 3DF,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Kings Court Care Home,37,DL12 8ND,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Ponteland Manor Care Home,52,NE20 9PZ,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Stanley Park,71,DH9 6AH,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
The Terrace,44,DL10 7AX,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Ventress Hall Care Home,106,DL3 7AZ,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Brandon House Nursing Home,35,CV6 7ED,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Brindley Court,52,ST6 4ND,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Brookdale View,48,M40 1PF,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Callands Care Home,120,WA5 9TS,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Carr Gate,65,WF2 0QU,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Young Adults
Carrington Court,48,WN2 3DU,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Cedar House,42,UB9 6EB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Chandlers Ford Care Home,45,SO53 2RD,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Chaseview Nursing Home,60,WS7 1AW,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Chorlton Place Nursing Home,48,M16 8LT,Nursing Or Personal Care; Nursing Home; Older People
Clarendon Hall Care Home,52,DN36 4DA,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
County Homes,90,CH49 5LE,Nursing Or Personal Care; Nursing Home; Dementia
Merwood Rest Home,16,FY2 9AD,Nursing Or Personal Care; Residential Home; Older People
Dale Park,54,PR8 6JU,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Daneside Court Nursing Home,64,CW9 5JA,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Daneside Mews,34,CW9 5JA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Dingle Meadow,46,B69 2DQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Dovedale Court,76,WS10 7PZ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Acer Court Care Home,78,NG8 6AX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Spinney (The),48,E4 7AU,Nursing Or Personal Care; Residential Home; Dementia; Older People
Bramley Court,72,CB24 9AH,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Cloud House,10,IG11 0NU,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Acorn Court Care Home,86,RH1 2NX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Ashbrook Court Care Home,70,E4 7RG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Brooklands Nursing & Residential Home,70,NR8 6HB,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Falstone Court,40,SR6 9NQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Falstone Manor,51,SR6 9NQ,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Ferndale Court Nursing Home,58,WA8 8TF,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Ferndale Mews,34,WA8 8TF,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People
Guide Lane Nursing Home,41,M34 5HA,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Harley Grange Nursing Home,34,LE2 3JD,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Highfield (Stockton),40,TS15 9XH,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Hinckley Park Nursing Home,40,LE10 1HH,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Hodge Hill Grange,52,B36 8AD,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Hollymere House General Nursing Home,48,CW1 5QZ,Nursing Or Personal Care; Nursing Home; Older People; Young Adults
Holmwood Nursing Home,41,S8 9BN,Nursing Or Personal Care; Nursing Home; Dementia; Older People
Jack Dormand Care Home,43,SR8 4LD,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Kesteven Grange,54,HU7 3EJ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
